Date,Number of lots,Sale total
26-2-2018,139,50129
26-2-2018,145,633755
26-2-2018,25,NA
26-2-2018,29,13950
26-2-2018,51,NA
26-2-2018,17,NA
25-2-2018,98,NA
25-2-2018,73,123290
24-2-2018,30,29600
24-2-2018,83,NA
23-2-2018,153,NA
22-2-2018,44,NA
22-2-2018,86,NA
22-2-2018,10,NA
21-2-2018,107,NA
21-2-2018,62,NA
21-2-2018,46,NA
20-2-2018,112,38100
19-2-2018,245,NA
19-2-2018,20,8910
18-2-2018,90,NA
18-2-2018,21,NA
18-2-2018,176,38610
17-2-2018,142,NA
17-2-2018,36,70450
16-2-2018,NA,NA
15-2-2018,58,191865
14-2-2018,140,NA
13-2-2018,134,NA
